"Positions_ID","Buchungs_FS","Konto","Anzahl","Preis","Rabatt","Benutzer_FS","erfasst","Leistung_Text","Leistung_FS"
"2309","561","110","36","16.00","0.00","1","2018-12-23 00:00:00","Mehrbettzimmer","4"
"2310","561","150","14","25.00","0.00","1","2018-12-23 00:00:00","Familienzimmer","6"
"2311","561","170","1","50.00","0.00","1","2018-12-23 00:00:00","Einerzimmer","4"
"2312","561","240","50","11.50","0.00","1","2018-12-23 00:00:00","Abendessen",NULL
"2313","561","210","50","8.00","0.00","1","2018-12-23 00:00:00","Zmorge",NULL
"2314","561","230","50","11.50","0.00","1","2018-12-23 00:00:00","Lunch",NULL
"2315","562","110","54","16.00","0.00","2","2019-01-06 00:00:00","Mehrbettzimmer  3x6",NULL
"2316","562","170","12","50.00","0.00","2","2019-01-06 00:00:00","Einerzimmer 4x1er",NULL
"2317","563","110","30","16.00","0.00","2","2019-01-07 00:00:00","Mehrbettzimmer","3"
"2318","563","170","2","50.00","0.00","2","2019-01-07 00:00:00","Einerzimmer","4"
"2319","563","210","32","8.00","0.00","2","2019-01-07 00:00:00","Zmorge",NULL
"2320","563","240","16","11.50","0.00","2","2019-01-07 00:00:00","Abendessen",NULL
"2321","564","110","24","16.00","0.00","2","2019-01-07 00:00:00","Mehrbettzimmer","3"
"2322","564","170","2","50.00","0.00","2","2019-01-07 00:00:00","Einerzimmer","4"
"2323","564","210","26","8.00","0.00","2","2019-01-07 00:00:00","Zmorge",NULL
"2324","564","240","16","11.50","0.00","2","2019-01-07 00:00:00","Abendessen",NULL
"2325","565","110","36","16.00","0.00","2","2019-01-07 00:00:00","Mehrbettzimmer","3"
"2326","565","150","28","25.00","0.00","2","2019-01-07 00:00:00","Familienzimmer","6"
"2327","565","130","2","25.00","0.00","2","2019-01-07 00:00:00","Zweibettzimmer","3"
"2328","566","130","16","25.00","0.00","2","2019-01-09 00:00:00","Zweibettzimmer","3"
"2329","566","150","128","25.00","0.00","2","2019-01-09 00:00:00","Familienzimmer","6"
"2330","566","210","144","8.00","0.00","2","2019-01-09 00:00:00","Zmorge",NULL
"2331","567","130","2","25.00","0.00","2","2019-01-09 00:00:00","Zweibettzimmer","3"
"2332","567","110","16","16.00","0.00","2","2019-01-09 00:00:00","Mehrbettzimmer","3"
"2333","567","210","18","8.00","0.00","2","2019-01-09 00:00:00","Zmorge",NULL
"2334","565","210","65","8.00","0.00","2","2019-01-09 00:00:00","Zmorge",NULL
"2335","565","220","55","11.50","0.00","2","2019-01-09 00:00:00","Mittagessen",NULL
"2336","568","110","36","16.00","0.00","2","2019-01-09 00:00:00","Mehrbettzimmer 6x6",NULL
"2337","568","150","23","25.00","0.00","2","2019-01-09 00:00:00","Familienzimmer 2x6/4x4",NULL
"2338","568","130","2","25.00","0.00","2","2019-01-09 00:00:00","Zweibettzimmer 1x2",NULL
"2339","568","210","61","8.00","0.00","2","2019-01-09 00:00:00","Zmorge",NULL
"2340","568","220","53","11.50","0.00","2","2019-01-09 00:00:00","Mittagessen",NULL
"2341","569","130","10","22.50","0.00","2","2019-01-13 00:00:00","Zweibettzimmer 5x2",NULL
"2342","569","150","19","22.50","0.00","2","2019-01-13 00:00:00","Familienzimmer 4x4/1x6",NULL
"2343","569","240","56","11.50","0.00","2","2019-01-13 00:00:00","Mittagessen ",NULL
"2344","569","210","63","8.00","0.00","2","2019-01-13 00:00:00","Zmorge",NULL
"2345","569","220","53","11.50","0.00","2","2019-01-13 00:00:00","Mittagessen So, 21.3.99",NULL
"2346","570","150","9","25.00","0.00","2","2019-01-14 00:00:00","Familienzimmer 1x3",NULL
"2347","570","110","81","16.00","0.00","2","2019-01-14 00:00:00","Mehrbettzimmer 6-Bettzimm",NULL
"2348","570","240","30","11.50","0.00","2","2019-01-14 00:00:00","Mittag3x3","5"
"2349","570","210","90","8.00","0.00","2","2019-01-14 00:00:00","Zmorge",NULL
"2350","571","110","19","16.00","0.00","2","2019-01-14 00:00:00","Mehrbettzimmer 6-Bettzimm",NULL
"2351","571","240","22","11.50","0.00","2","2019-01-14 00:00:00","Mittag3x3","5"
"2352","571","210","22","8.00","0.00","2","2019-01-14 00:00:00","Zmorge",NULL
"2353","572","130","8","25.00","0.00","2","2019-01-19 00:00:00","Zweibettzimmer 12./14.-17",NULL
"2354","572","110","48","16.00","0.00","2","2019-01-19 00:00:00","Mehrbettzimmer 12./14.-17",NULL
"2355","572","110","6","16.00","0.00","2","2019-01-19 00:00:00","Mehrbettzimmer 13.4.99 1x",NULL
"2356","572","210","56","8.00","0.00","2","2019-01-19 00:00:00","Zmorge",NULL
"2357","572","210","6","8.00","0.00","2","2019-01-19 00:00:00","Zmorge",NULL
"2358","572","240","42","11.50","0.00","2","2019-01-19 00:00:00","Abend3x3","5"
"2359","572","240","18","11.50","0.00","2","2019-01-19 00:00:00","Mittag3x3","5"
"2360","573","110","45","16.00","0.00","2","2019-01-19 00:00:00","Mehrbettzimmer 2x6",NULL
"2361","573","210","45","8.00","0.00","2","2019-01-19 00:00:00","Zmorge",NULL
"2362","573","240","45","11.50","0.00","2","2019-01-19 00:00:00","Abendessen",NULL
"2363","574","170","1","47.50","0.10","2","2019-01-21 00:00:00","Einerzimmer 1x1",NULL
"2364","574","130","4","22.50","0.10","2","2019-01-21 00:00:00","Zweibettzimmer 2x2",NULL
"2365","574","150","8","22.50","0.10","2","2019-01-21 00:00:00","Familienzimmer 2x4",NULL
"2366","574","110","21","13.50","0.10","2","2019-01-21 00:00:00"," Mehrbettzimmer 4x6",NULL
"2367","574","210","34","8.00","0.10","2","2019-01-21 00:00:00","Zmorge",NULL
"2368","575","110","27","13.50","0.00","2","2019-02-09 00:00:00","Mehrbettzimmer","3"
"2369","575","170","3","47.50","0.00","2","2019-02-09 00:00:00","Einerzimmer","4"
"2370","575","210","30","8.00","0.00","2","2019-02-09 00:00:00","Zmorge",NULL
"2371","576","110","144","16.00","0.00","2","2019-02-09 00:00:00","Mehrbettzimmer 6x6",NULL
"2372","576","150","96","25.00","0.00","2","2019-02-09 00:00:00","Familienzimmer 6x4",NULL
"2373","576","210","240","8.00","0.00","2","2019-02-09 00:00:00","Zmorge",NULL
"2374","576","430","1","44.00","0.00","2","2019-02-09 00:00:00","Mitgliederkarte Familie/L",NULL
"2375","577","110","33","16.00","0.00","2","2019-02-09 00:00:00","Mehrbettzimmer 6x6 23.9.",NULL
"2376","578","110","23","16.00","0.00","2","2019-02-12 00:00:00","dormitory 4x6",NULL
"2377","578","130","2","25.00","0.00","2","2019-02-12 00:00:00","Double-room 1x2",NULL
"2378","578","170","1","50.00","0.00","2","2019-02-12 00:00:00","Single-Room 2x1",NULL
"2379","578","240","27","11.50","0.00","2","2019-02-12 00:00:00","Dinner 6pm",NULL
"2380","578","210","27","8.00","0.00","2","2019-02-12 00:00:00","Breakfast",NULL
"2381","579","170","1","50.00","0.10","2","2019-02-20 00:00:00","Single-Room",NULL
"2382","579","130","6","25.00","0.10","2","2019-02-20 00:00:00","Double-room 3x2",NULL
"2383","579","150","9","25.00","0.10","2","2019-02-20 00:00:00","Family-Room 1x6/1x3",NULL
"2384","579","110","36","16.00","0.10","2","2019-02-20 00:00:00","dormitory 6x6","2"
"2385","579","240","52","11.50","0.10","2","2019-02-20 00:00:00","Dinner 6.30 pm",NULL
"2386","579","210","52","8.00","0.10","2","2019-02-20 00:00:00","Breakfast",NULL
"2387","580","310","1","40.00","0.00","2","2019-03-06 00:00:00","Kaltgetränke",NULL
"2388","580","260","1","20.00","0.00","2","2019-03-06 00:00:00","Warmgetränke",NULL
"2389","580","360","1","45.00","0.00","2","2019-03-06 00:00:00","Divers(Tischtücher)",NULL
"2390","580","310","1","232.70","0.00","2","2019-03-06 00:00:00","Kaltgetränke (Wein,Geträn",NULL
"2391","580","240","95","11.50","0.00","2","2019-03-06 00:00:00","Abendessen",NULL
"2392","580","250","1","7.50","0.00","2","2019-03-06 00:00:00","Küche divers",NULL
"2393","580","360","1","100.00","0.00","2","2019-03-06 00:00:00","Divers (Kto übrige.Pers.k",NULL
"2394","580","360","1","360.00","0.00","2","2019-03-06 00:00:00","Divers ( Kto übrige Pers.",NULL
"2395","582","170","6","50.00","0.00","2","2019-03-06 00:00:00","Einerzimmer 3x1",NULL
"2396","582","130","4","25.00","0.00","2","2019-03-06 00:00:00"," Zweibettzimmer 1x2",NULL
"2397","582","150","46","25.00","0.00","2","2019-03-06 00:00:00"," Familienzimmer 3x6/1x5",NULL
"2398","582","210","56","8.00","0.00","2","2019-03-06 00:00:00","Zmorge",NULL
"2399","583","110","36","16.00","0.10","2","2019-03-06 00:00:00","Mehrbettzimmer 6x6","2"
"2400","583","150","9","25.00","0.10","2","2019-03-06 00:00:00","Familienzimmer 1x5/1x4",NULL
"2401","583","210","45","8.00","0.10","2","2019-03-06 00:00:00","Zmorge",NULL
"2402","584","130","10","25.00","0.00","2","2019-03-06 00:00:00","Zweibettzimmer 1x2",NULL
"2403","584","150","75","25.00","0.00","2","2019-03-06 00:00:00","Familienzimmer 1x4/1x5/1x",NULL
"2404","584","210","85","8.00","0.00","2","2019-03-06 00:00:00","Zmorge",NULL
"2405","584","240","18","11.50","0.00","2","2019-03-06 00:00:00","Mittagessen",NULL
"2406","585","110","36","16.00","0.00","2","2019-03-06 00:00:00","Mehrbettzimmer 6x6","2"
"2407","585","150","18","25.00","0.00","2","2019-03-06 00:00:00","Familienzimmer","6"
"2408","585","130","4","25.00","0.00","2","2019-03-06 00:00:00","Zweibettzimmer 3x2",NULL
"2409","585","210","58","8.00","0.00","2","2019-03-06 00:00:00","Zmorge",NULL
"2410","585","240","58","11.50","0.00","2","2019-03-06 00:00:00","Abendessen",NULL
"2411","556","150","4","25.00","0.00","2","2019-03-06 00:00:00","Familienzimmer 1x4",NULL
"2412","556","130","4","25.00","0.00","2","2019-03-06 00:00:00","Zweibettzimmer 2x2",NULL
"2413","556","170","2","50.00","0.00","2","2019-03-06 00:00:00","Einerzimmer 2x1",NULL
"2414","556","220","46","11.50","0.00","2","2019-03-06 00:00:00","Mittagessen am 6.5.",NULL
"2415","556","210","46","8.00","0.00","2","2019-03-06 00:00:00","Zmorge",NULL
"2416","586","150","9","25.00","0.00","2","2019-03-06 00:00:00","Chambre-Famille 1x4/1x5",NULL
"2417","586","130","4","25.00","0.00","2","2019-03-06 00:00:00","Chambre à 2-lits 2x2",NULL
"2418","586","210","13","8.00","0.00","2","2019-03-06 00:00:00","Petit déjeuner",NULL
"2419","562","150","24","25.00","0.00","2","2019-03-06 00:00:00","Familienzimmer 2x4",NULL
"2420","562","240","58","11.50","0.00","2","2019-03-06 00:00:00","Abendessen",NULL
"2421","569","430","1","44.00","0.00","2","2019-03-20 00:00:00","Mitgliederkarte Familie/L",NULL
"2422","569","110","34","13.50","0.00","2","2019-03-21 00:00:00","Mehrbettzimmer 5x6/1x4",NULL
"2423","569","260","1","120.00","0.00","2","2019-03-21 00:00:00","Warmgetränke 2x6 lt Sa,So",NULL
"2424","569","250","1","100.00","0.00","2","2019-03-21 00:00:00","Küche divers(Abwaschen,Ti",NULL
"2425","587","130","2","22.50","0.00","2","2019-03-25 00:00:00","Zweibettzimmer","3"
"2426","587","210","2","8.00","0.00","2","2019-03-25 00:00:00","Zmorge",NULL
"2427","590","130","16","22.50","0.00","2","2019-03-25 00:00:00","Zweibettzimmer","3"
"2428","590","110","100","13.50","0.00","2","2019-03-25 00:00:00","Mehrbettzimmer","3"
"2429","590","210","116","8.00","0.00","2","2019-03-25 00:00:00","Zmorge",NULL
"2430","590","230","124","11.50","0.00","2","2019-03-25 00:00:00","Lunch",NULL
"2431","590","240","116","11.50","0.00","2","2019-03-25 00:00:00","Abendessen",NULL
"2432","591","170","2","50.00","0.00","2","2019-03-26 00:00:00","Einerzimmer","4"
"2433","591","110","16","16.00","0.00","2","2019-03-26 00:00:00","Mehrbettzimmer 6er",NULL
"2434","591","240","18","11.50","0.00","2","2019-03-26 00:00:00","Abend3x3","5"
"2435","591","210","18","8.00","0.00","2","2019-03-26 00:00:00","Zmorge",NULL
"2436","592","130","4","25.00","0.00","2","2019-03-26 00:00:00","Zweibettzimmer","3"
"2437","592","240","22","11.50","0.00","2","2019-03-26 00:00:00","Abend3x3","5"
"2438","592","210","22","8.00","0.00","2","2019-03-26 00:00:00","Zmorge",NULL
"2439","592","150","18","25.00","0.00","2","2019-03-26 00:00:00","Familienzimmer 2x3/1x4",NULL
"2440","593","170","1","50.00","0.00","2","2019-03-26 00:00:00","Einerzimmer",NULL
"2441","593","150","18","25.00","0.00","2","2019-03-26 00:00:00","Familienzimmer","6"
"2442","593","210","19","8.00","0.00","2","2019-03-26 00:00:00","Zmorge",NULL
"2443","594","150","20","25.00","0.00","2","2019-03-26 00:00:00","Familienzimmer 2x5 mit La",NULL
"2444","594","110","46","16.00","0.00","2","2019-03-26 00:00:00","Mehrbettzimmer 6er",NULL
"2445","594","210","66","8.00","0.00","2","2019-03-26 00:00:00","Zmorge",NULL
"2446","595","150","21","25.00","0.00","2","2019-03-27 00:00:00","Familienzimmer 5er mit Du",NULL
"2447","595","190","14","12.50","0.00","2","2019-03-27 00:00:00","Kinderpreise",NULL
"2448","595","210","21","8.00","0.00","2","2019-03-27 00:00:00","Zmorge",NULL
"2449","595","250","14","4.00","0.00","2","2019-03-27 00:00:00","Küche divers (1/2 Preis F",NULL
"2450","596","110","86","16.00","0.00","2","2019-03-27 00:00:00","Mehrbettzimmer6x6/1x4/1x5",NULL
"2451","596","130","6","25.00","0.00","2","2019-03-27 00:00:00","Zweibettzimmer 1x2/1x1",NULL
"2452","596","210","92","8.00","0.00","2","2019-03-27 00:00:00","Zmorge",NULL
"2453","597","110","64","16.00","0.10","2","2019-03-27 00:00:00","Mehrbettzimmer 6x6","2"
"2454","597","150","16","25.00","0.10","2","2019-03-27 00:00:00","Familienzimmer 2x4",NULL
"2455","597","130","8","25.00","0.10","2","2019-03-27 00:00:00","Zweibettzimmer 2x2",NULL
"2456","597","210","88","8.00","0.10","2","2019-03-27 00:00:00","Zmorge",NULL
"2457","597","240","41","11.50","0.10","2","2019-03-27 00:00:00","Mittagessen",NULL
"2458","598","110","2","16.00","0.00","2","2019-04-01 00:00:00","Mehrbettzimmer","3"
"2459","598","210","2","8.00","0.00","2","2019-04-01 00:00:00","Zmorge",NULL
"2460","598","450","2","5.00","0.00","2","2019-04-01 00:00:00","Internationale Welcome-St",NULL
"2461","600","130","14","25.00","0.00","2","2019-04-03 00:00:00","Zweibettzimmer","3"
"2462","600","150","63","25.00","0.00","2","2019-04-03 00:00:00","Familienzimmer1x4/1x5",NULL
"2463","600","110","20","16.00","0.00","2","2019-04-03 00:00:00","Mehrbettzimmer 1x5 16-21.",NULL
"2464","600","150","15","25.00","0.00","2","2019-04-03 00:00:00","Familienzimmer 1x5",NULL
"2465","600","210","112","8.00","0.00","2","2019-04-03 00:00:00","Zmorge",NULL
"2466","601","150","92","25.00","0.00","2","2019-04-04 00:00:00","Familienzimmer 3x6/1X5",NULL
"2467","601","130","8","25.00","0.00","2","2019-04-04 00:00:00","Zweibettzimmer","3"
"2468","601","170","4","50.00","0.00","2","2019-04-04 00:00:00","Einerzimmer",NULL
"2469","601","210","104","8.00","0.00","2","2019-04-04 00:00:00","Zmorge",NULL
"2470","602","130","4","25.00","0.00","2","2019-04-04 00:00:00","Zweibettzimmer","3"
"2471","602","150","28","25.00","0.00","2","2019-04-04 00:00:00","Familienzimmer 1x4/1x5/1x",NULL
"2472","602","210","32","8.00","0.00","2","2019-04-04 00:00:00","Zmorge",NULL
"2473","554","220","95","11.50","0.00","2","2019-04-04 00:00:00","Mittagessen 12/13/14/15/1",NULL
"2474","603","130","4","25.00","0.00","2","2019-04-07 00:00:00","Zweibettzimmer 2x2",NULL
"2475","603","150","11","25.00","0.00","2","2019-04-07 00:00:00","Familienzimmer 1x5/1X6",NULL
"2476","603","210","15","8.00","0.00","2","2019-04-07 00:00:00","Zmorge",NULL
"2477","604","130","4","25.00","0.00","2","2019-04-10 00:00:00","Zweibettzimmer","3"
"2478","604","150","14","25.00","0.00","2","2019-04-10 00:00:00","Familienzimmer 1X6+1",NULL
"2479","604","210","18","8.00","0.00","2","2019-04-10 00:00:00","Zmorge",NULL
"2480","605","130","6","25.00","0.00","2","2019-04-10 00:00:00","Zweibettzimmer 3x2",NULL
"2481","605","110","21","16.00","0.00","2","2019-04-10 00:00:00","Mehrbettzimmer","3"
"2482","605","210","27","8.00","0.00","2","2019-04-10 00:00:00","Zmorge",NULL
"2483","597","230","92","11.50","0.10","2","2019-04-10 00:00:00","Lunch 23 und 24.5.",NULL
"2484","606","130","4","25.00","0.00","2","2019-04-10 00:00:00","Zweibettzimmer 2x2",NULL
"2485","606","110","19","16.00","0.00","2","2019-04-10 00:00:00","Mehrbettzimmer 6er",NULL
"2486","606","210","23","8.00","0.00","2","2019-04-10 00:00:00","Zmorge",NULL
"2487","606","240","23","11.50","0.00","2","2019-04-10 00:00:00","Abendessen",NULL
"2488","553","170","1","50.00","0.00","2","2019-04-11 00:00:00","Chambre-Individuelle",NULL
"2489","609","110","58","16.00","0.00","2","2019-04-13 00:00:00","Mehrbettzimmer","3"
"2490","609","210","58","8.00","0.00","2","2019-04-13 00:00:00","Zmorge",NULL
"2491","609","240","29","11.50","0.00","2","2019-04-13 00:00:00","Mittagessen",NULL
"2492","610","150","30","25.00","0.00","2","2019-04-13 00:00:00","Chambre-Famille 1x5 avec",NULL
"2493","610","210","30","8.00","0.00","2","2019-04-13 00:00:00","Petit déjeuner",NULL
"2494","610","430","1","44.00","0.00","2","2019-04-13 00:00:00","Carte de membre famille/g",NULL
"2495","554","220","1","11.50","0.00","2","2019-04-16 00:00:00","Mittagessen",NULL
"2496","554","250","19","7.00","0.00","2","2019-04-16 00:00:00","Küche divers Zwischenverp",NULL
"2497","612","110","48","16.00","0.00","3","2019-04-16 00:00:00","Mehrbettzimmer","3"
"2498","612","130","8","25.00","0.00","3","2019-04-16 00:00:00","Zweibettzimmer","3"
"2499","612","210","56","8.00","0.00","3","2019-04-16 00:00:00","Zmorge",NULL
"2500","612","240","56","11.50","0.00","3","2019-04-16 00:00:00","Abend3x3","5"
"2501","613","130","4","25.00","0.00","2","2019-04-16 00:00:00","Zweibettzimmer","3"
"2502","613","150","3","25.00","0.00","2","2019-04-16 00:00:00"," 1x4",NULL
"2503","613","150","36","25.00","0.00","2","2019-04-16 00:00:00","Familienzimmer 6x6","2"
"2504","613","240","43","11.50","0.00","2","2019-04-16 00:00:00","Mittag3x3","5"
"2505","613","210","43","8.00","0.00","2","2019-04-16 00:00:00","Zmorge",NULL
"2506","614","130","4","25.00","0.00","2","2019-04-16 00:00:00","Zweibettzimmer 2x2",NULL
"2507","614","110","36","16.00","0.00","2","2019-04-16 00:00:00","Mehrbettzimmer 6x6","2"
"2508","614","150","28","25.00","0.00","2","2019-04-16 00:00:00","Familienzimmer 2x5/1x6/3x",NULL
"2509","614","240","68","11.50","0.00","2","2019-04-16 00:00:00","Mittagessen",NULL
"2510","614","210","68","8.00","0.00","2","2019-04-16 00:00:00","Zmorge",NULL
"2511","615","150","72","25.00","0.00","2","2019-04-16 00:00:00","Familienzimmer 1x6 mit Du",NULL
"2512","615","210","72","8.00","0.00","2","2019-04-16 00:00:00","Zmorge",NULL
"2513","554","260","1","208.00","0.00","2","2019-04-18 00:00:00","Warmgetränke 26 lt a 8.--",NULL
"2514","554","260","1","120.00","0.00","2","2019-04-18 00:00:00","Warmgetränke 120 lt a 1.-",NULL
"2515","576","230","120","11.50","0.00","2","2019-04-19 00:00:00","Lunch",NULL
"2516","576","230","112","11.50","0.00","2","2019-04-19 00:00:00","Lunch",NULL
"2517","616","150","8","25.00","0.00","2","2019-04-19 00:00:00","Familienzimmer mit Du/WC",NULL
"2518","616","210","8","8.00","0.00","2","2019-04-19 00:00:00","Zmorge",NULL
"2519","617","110","34","16.00","0.00","2","2019-04-19 00:00:00","Mehrbettzimmer 6er",NULL
"2520","617","170","3","50.00","0.00","2","2019-04-19 00:00:00","Einerzimmer","4"
"2521","617","210","37","8.00","0.00","2","2019-04-19 00:00:00","Zmorge",NULL
"2522","618","150","36","25.00","0.00","2","2019-04-20 00:00:00","Familienzimmer 2x6",NULL
"2523","618","210","36","8.00","0.00","2","2019-04-21 00:00:00","Zmorge",NULL
"2524","620","110","3","16.00","0.00","2","2019-04-22 00:00:00","Mehrbettzimmer","3"
"2525","620","210","3","8.00","0.00","2","2019-04-22 00:00:00","Zmorge",NULL
"2526","620","410","1","22.00","0.00","2","2019-04-22 00:00:00","Mitgliederkarte Junior",NULL
"2527","603","430","1","44.00","0.00","2","2019-04-24 00:00:00","Mitgliederkarte Familie/L",NULL
"2528","576","250","4","60.00","0.00","2","2019-04-25 00:00:00","Küche divers",NULL
"2529","576","250","1","60.00","0.00","2","2019-04-25 00:00:00","Küche divers",NULL
"2530","622","130","2","25.00","0.00","2","2019-04-25 00:00:00","Zweibettzimmer","3"
"2531","622","150","13","25.00","0.00","2","2019-04-25 00:00:00","Familienzimmer 2x4 / 1x5",NULL
"2532","622","210","15","8.00","0.00","2","2019-04-25 00:00:00","Zmorge",NULL
"2533","584","240","34","11.50","0.00","3","2019-04-29 00:00:00","Mittag3x3","5"
"2534","624","150","2","25.00","0.00","2","2019-04-29 00:00:00","Familienzimmer","6"
"2535","624","210","2","8.00","0.00","2","2019-04-29 00:00:00","Zmorge",NULL
